,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
129,AFGE,"American Financial Group, Inc.",25.7,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge
130,AFGH,"American Financial Group, Inc.",25.53,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh
131,AMH,American Homes 4 Rent,19.71,5650000000,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh
132,AMH^D,American Homes 4 Rent,25.43,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d
133,AMH^E,American Homes 4 Rent,25.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e
134,AMH^F,American Homes 4 Rent,23.65,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f
135,AMH^G,American Homes 4 Rent,23.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g
136,AIG,"American International Group, Inc.",53.6,48400000000,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig
137,AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws
138,AMID,"American Midstream Partners, LP",10.95,577220000,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amid
139,ARL,"American Realty Investors, Inc.",18.21,291310000,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/arl
140,ARA,"American Renal Associates Holdings, Inc",17.05,553760000,2016,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ara
141,AWR,American States Water Company,52.61,1930000000,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awr
142,AMT,American Tower Corporation (REIT),142.16,62670000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
143,AVD,American Vanguard Corporation,20.75,619370000,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd
144,AWK,American Water Works,81.92,14580000000,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk
145,COLD,Americold Realty Trust,18.83,2680000000,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cold
146,APU,"AmeriGas Partners, L.P.",39.8,3700000000,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/apu
147,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",141.31,20640000000,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp
148,ABC,AmerisourceBergen Corporation (Holding Co),85.41,18760000000,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
149,ANFI,Amira Nature Foods Ltd,4.2,139720000,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi
150,AMN,AMN Healthcare Services Inc,58.1,2780000000,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/amn
