,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
121,GOOGL,Alphabet Inc.,1009.95,7.02E+11,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl
122,SMCP,AlphaMark Actively Managed Small Cap ETF,24.7599,27240000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp
123,ATEC,"Alphatec Holdings, Inc.",3.35,85330000,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec
124,ALPN,"Alpine Immune Sciences, Inc.",8.07,111740000,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn
125,SWIN,ALPS/Dorsey Wright Sector Momentum ETF,29.7999,10430000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/swin
126,AMR,"Alta Mesa Resources, Inc.",7.03,2690000000,2017,Finance,Business Services,https://www.nasdaq.com/symbol/amr
127,AMRWW,"Alta Mesa Resources, Inc.",1.4,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/amrww
128,AABA,Altaba Inc.,67.55,55720000000,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
129,ALTR,Altair Engineering Inc.,30.13,1910000000,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr
130,ALT,"Altimmune, Inc.",0.9285,20680000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt
131,ASPS,Altisource Portfolio Solutions S.A.,25.82,449260000,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps
132,AIMC,Altra Industrial Motion Corp.,44.85,1320000000,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc
133,AMAG,"AMAG Pharmaceuticals, Inc.",20.55,700530000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag
134,AMRN,Amarin Corporation plc,3.01,879880000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn
135,AMRK,"A-Mark Precious Metals, Inc.",12.02,84520000,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
136,AMZN,"Amazon.com, Inc.",1405.23,6.80E+11,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
137,AMBC,"Ambac Financial Group, Inc.",16.2,733510000,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc
138,AMBCW,"Ambac Financial Group, Inc.",7.45,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw
139,AMBA,"Ambarella, Inc.",44.45,1500000000,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba
140,AMCX,AMC Networks Inc.,51.67,3140000000,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx
141,DOX,Amdocs Limited,65.59,9410000000,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox
142,AMDA,Amedica Corporation,1.3998,5990000,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/amda
143,AMED,Amedisys Inc,64.45,2190000000,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed
144,UHAL,Amerco,345.8,6780000000,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal
145,AMRH,"Ameri Holdings, Inc.",1.46,27430000,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh
146,AMRHW,"Ameri Holdings, Inc.",0.47,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw
147,ATAX,"America First Multifamily Investors, L.P.",6.175,372810000,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax
148,AMOV,"America Movil, S.A.B. de C.V.",19.31,63780000000,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
